Date,nasdaq100_price,crude_price,GDP,rate_y
2019-08-06,7521.31982421875,53.630001068115234,21775.71556521739,2.32
2019-08-07,7551.89990234375,51.09000015258789,21777.97760869565,2.3066666666666666
2019-08-08,7724.830078125,52.540000915527344,21780.239652173914,2.2933333333333334
2019-08-09,7646.27001953125,54.5,21782.501695652172,2.28
2019-08-12,7561.68017578125,54.93000030517578,21789.287826086955,2.24
2019-08-13,7728.14990234375,57.09999847412109,21791.549869565217,2.2266666666666666
2019-08-14,7490.1298828125,55.22999954223633,21793.81191304348,2.2133333333333334
2019-08-15,7484.89013671875,54.470001220703125,21796.073956521737,2.2
2019-08-16,7604.10986328125,54.869998931884766,21798.336,2.1866666666666665
2019-08-19,7719.31982421875,56.209999084472656,21805.122130434782,2.146666666666667
2019-08-20,7664.47021484375,56.34000015258789,21807.384173913044,2.1333333333333333
2019-08-21,7733.22021484375,55.68000030517578,21809.646217391302,2.12
2019-08-22,7707.43017578125,55.34999847412109,21811.908260869564,2.12
2019-08-23,7464.990234375,54.16999816894531,21814.170304347826,2.12
2019-08-26,7575.02001953125,53.63999938964844,21820.95643478261,2.12
2019-08-27,7566.02978515625,54.93000030517578,21823.218478260867,2.12
2019-08-28,7587.89990234375,55.77999877929688,21825.48052173913,2.12
2019-08-29,7702.31005859375,56.709999084472656,21827.74256521739,2.12
2019-08-30,7691.0,55.09999847412109,21830.00460869565,2.13
2019-09-03,7609.509765625,53.93999862670898,21839.052782608695,2.091666666666667
2019-09-04,7719.25,56.2599983215332,21841.314826086957,2.0820833333333333
2019-09-05,7862.5400390625,56.29999923706055,21843.576869565215,2.0725
2019-09-06,7852.5400390625,56.52000045776367,21845.838913043477,2.0629166666666667
2019-09-09,7832.39990234375,57.84999847412109,21852.62504347826,2.0341666666666667
2019-09-10,7814.740234375,57.400001525878906,21854.88708695652,2.024583333333333
2019-09-11,7887.580078125,55.75,21857.149130434784,2.0149999999999997
2019-09-12,7917.33984375,55.09000015258789,21859.411173913042,2.0054166666666666
2019-09-13,7892.9501953125,54.84999847412109,21861.673217391304,1.9958333333333331
2019-09-16,7852.41015625,62.900001525878906,21868.459347826087,1.9670833333333333
2019-09-17,7888.7900390625,59.34000015258789,21870.72139130435,1.9575
2019-09-18,7888.56005859375,58.11000061035156,21872.983434782607,1.9479166666666665
2019-09-19,7901.7900390625,58.130001068115234,21875.24547826087,1.9383333333333332
2019-09-20,7823.5498046875,58.09000015258789,21877.50752173913,1.92875
2019-09-23,7818.60986328125,58.63999938964844,21884.293652173914,1.9
2019-09-24,7710.0400390625,57.290000915527344,21886.555695652172,1.9
2019-09-25,7803.5400390625,56.4900016784668,21888.817739130434,1.9
2019-09-26,7771.990234375,56.40999984741211,21891.079782608696,1.85
2019-09-27,7681.580078125,55.90999984741211,21893.341826086955,1.83
2019-09-30,7749.4501953125,54.06999969482422,21900.127956521737,1.9
2019-10-01,7684.14013671875,53.619998931884766,21902.39,1.8976190476190475
2019-10-02,7550.7900390625,52.63999938964844,21900.26090217391,1.8952380952380952
2019-10-03,7638.39013671875,52.45000076293945,21898.131804347824,1.8928571428571428
2019-10-04,7754.10009765625,52.810001373291016,21896.00270652174,1.8904761904761904
2019-10-07,7725.1298828125,52.75,21889.615413043477,1.8833333333333333
2019-10-08,7604.27001953125,52.630001068115234,21887.48631521739,1.880952380952381
2019-10-09,7690.52978515625,52.59000015258789,21885.357217391305,1.8785714285714286
2019-10-10,7740.35986328125,53.54999923706055,21883.228119565218,1.8761904761904762
2019-10-11,7843.8798828125,54.70000076293945,21881.09902173913,1.8738095238095238
2019-10-14,7842.330078125,53.59000015258789,21874.71172826087,1.8666666666666667
2019-10-15,7942.85009765625,52.810001373291016,21872.582630434783,1.8642857142857143
2019-10-16,7920.2099609375,53.36000061035156,21870.453532608695,1.861904761904762
2019-10-17,7942.14013671875,53.93000030517578,21868.324434782608,1.8595238095238096
2019-10-18,7868.490234375,53.77999877929688,21866.19533695652,1.8571428571428572
2019-10-21,7940.330078125,53.310001373291016,21859.80804347826,1.85
2019-10-22,7874.6201171875,54.15999984741211,21857.678945652173,1.85
2019-10-23,7889.47021484375,55.970001220703125,21855.549847826085,1.85
2019-10-24,7966.72021484375,56.22999954223633,21853.420749999997,1.85
2019-10-25,8029.22021484375,56.65999984741211,21851.291652173913,1.83
2019-10-28,8110.669921875,55.810001373291016,21844.90435869565,1.83
2019-10-29,8047.509765625,55.540000915527344,21842.775260869563,1.82
2019-10-30,8083.10986328125,55.060001373291016,21840.64616304348,1.82
2019-10-31,8083.830078125,54.18000030517578,21838.51706521739,1.58
2019-11-01,8161.169921875,56.20000076293945,21836.387967391303,1.5785714285714287
2019-11-04,8210.66015625,56.540000915527344,21830.000673913044,1.5742857142857143
2019-11-05,8210.1796875,57.22999954223633,21827.871576086956,1.572857142857143
2019-11-06,8196.0302734375,56.34999847412109,21825.74247826087,1.5714285714285714
2019-11-07,8219.650390625,57.150001525878906,21823.61338043478,1.57
2019-11-08,8255.8896484375,57.2400016784668,21821.484282608693,1.5685714285714287
2019-11-11,8241.91015625,56.86000061035156,21815.096989130434,1.5642857142857143
2019-11-12,8263.7900390625,56.79999923706055,21812.967891304346,1.562857142857143
2019-11-13,8259.8095703125,57.119998931884766,21810.83879347826,1.5614285714285714
2019-11-14,8257.830078125,56.77000045776367,21808.709695652175,1.56
2019-11-15,8315.51953125,57.720001220703125,21806.580597826087,1.5585714285714287
2019-11-18,8328.48046875,57.04999923706055,21800.193304347824,1.5542857142857143
2019-11-19,8338.740234375,55.209999084472656,21798.06420652174,1.552857142857143
2019-11-20,8283.75,57.11000061035156,21795.935108695652,1.5514285714285714
2019-11-21,8265.6201171875,58.58000183105469,21793.806010869564,1.55
2019-11-22,8272.0498046875,57.77000045776367,21791.676913043477,1.55
2019-11-25,8371.9296875,58.0099983215332,21785.289619565217,1.55
2019-11-26,8385.75,58.40999984741211,21783.16052173913,1.55
2019-11-27,8444.7099609375,58.11000061035156,21781.031423913042,1.55
2019-11-29,8403.6796875,55.16999816894531,21776.77322826087,1.56
2019-12-02,8309.259765625,55.959999084472656,21770.385934782607,1.55875
2019-12-03,8254.740234375,56.09999847412109,21768.25683695652,1.5583333333333333
2019-12-04,8296.5302734375,58.43000030517578,21766.127739130436,1.5579166666666666
2019-12-05,8308.400390625,58.43000030517578,21763.998641304348,1.5575
2019-12-06,8397.3701171875,59.20000076293945,21761.86954347826,1.5570833333333334
2019-12-09,8362.740234375,59.02000045776367,21755.48225,1.5558333333333334
2019-12-10,8354.2900390625,59.2400016784668,21753.353152173913,1.5554166666666667
2019-12-11,8402.6103515625,58.7599983215332,21751.224054347826,1.5550000000000002
2019-12-12,8466.8896484375,59.18000030517578,21749.094956521738,1.5545833333333334
2019-12-13,8487.7099609375,60.06999969482422,21746.96585869565,1.5541666666666667
2019-12-16,8570.330078125,60.209999084472656,21740.57856521739,1.5529166666666667
2019-12-17,8575.7001953125,60.93999862670898,21738.449467391303,1.5525
2019-12-18,8580.6201171875,60.93000030517578,21736.320369565216,1.5520833333333335
2019-12-19,8641.2900390625,61.220001220703125,21734.191271739128,1.5516666666666667
2019-12-20,8678.490234375,60.43999862670898,21732.062173913044,1.55125
2019-12-23,8696.009765625,60.52000045776367,21725.67488043478,1.55
2019-12-24,8699.509765625,61.11000061035156,21723.545782608693,1.55
2019-12-26,8778.3095703125,61.68000030517578,21719.28758695652,1.55
2019-12-27,8770.98046875,61.720001220703125,21717.158489130434,1.55
2019-12-30,8709.73046875,61.68000030517578,21710.771195652174,1.55
2019-12-31,8733.0703125,61.060001373291016,21708.642097826087,1.55
